KODE,NAMA PROVINSI,BAHASA INDONESIA,BAHASA INGGRIS,MATEMATIKA,FISIKA,KIMIA,BIOLOGI,RERATA NILAI,Tahun,Status
9,RIAU,-7.290000000000006,-20.99000000000001,-31.489999999999995,-36.35,-22.85,-23.93,-22.380000000000003,2015-2017,N
10,JAMBI,-5.550000000000011,-15.61,-13.25,-9.299999999999997,-10.510000000000005,-13.89,-10.600000000000001,2015-2017,N
11,SUMATERA SELATAN,-10.159999999999997,-24.019999999999996,-33.76,-33.68,-22.320000000000007,-22.690000000000005,-23.180000000000007,2015-2017,N
12,LAMPUNG,-5.219999999999999,-16.11,-14.149999999999999,-8.270000000000003,-3.5,-16.14,-8.949999999999996,2015-2017,N
13,KALIMANTAN BARAT,-8.420000000000002,-25.36,-20.500000000000004,-14.68,-15.43,-14.719999999999999,-15.149999999999999,2015-2017,N
14,KALIMANTAN TENGAH,-6.790000000000006,-8.899999999999999,-5.25,-5.1200000000000045,0.10000000000000142,-3.739999999999995,-3.5900000000000034,2015-2017,N
15,KALIMANTAN SELATAN,-2.6999999999999886,-17.400000000000006,-31.380000000000003,-27.729999999999997,-7.519999999999996,-16.610000000000007,-15.250000000000007,2015-2017,N
16,KALIMANTAN TIMUR,-2.5,-4.929999999999993,-9.869999999999997,-10.07,0.8999999999999986,-5.82,-3.3399999999999963,2015-2017,N
17,SULAWESI UTARA,-7.640000000000001,-18.840000000000003,-30.720000000000006,-30.439999999999998,-15.480000000000004,-25.159999999999997,-19.879999999999995,2015-2017,N
18,SULAWESI TENGAH,-2.1500000000000057,-9.170000000000002,-9.839999999999996,-11.079999999999998,8.129999999999995,-7.07,-3.6300000000000026,2015-2017,N
19,SULAWESI SELATAN,-11.479999999999997,-14.400000000000006,-28.800000000000004,-36.78,2.6899999999999977,-26.319999999999993,-18.479999999999997,2015-2017,N
20,SULAWESI TENGGARA,-4.959999999999994,-1.240000000000009,-5.240000000000002,-10.899999999999999,9.520000000000003,-3.3699999999999974,-3.280000000000001,2015-2017,N
21,MALUKU,-7.809999999999995,-0.990000000000002,-2.6600000000000037,-7.829999999999998,5.699999999999996,-1.009999999999998,-1.4299999999999997,2015-2017,N
22,BALI,-9.400000000000006,-19.340000000000003,-36.120000000000005,-35.81,-23.570000000000007,-27.890000000000008,-23.620000000000005,2015-2017,N
23,NUSA TENGGARA BARAT,-3.5,-13.979999999999997,-24.990000000000002,-21.61,-1.9600000000000009,-14.75,-12.769999999999996,2015-2017,N
24,NUSA TENGGARA TIMUR,-6.919999999999995,-10.54,-8.190000000000005,-6.149999999999999,6.219999999999999,-0.5700000000000003,-3.25,2015-2017,N
25,PAPUA,-7.920000000000002,-5.43,-8.309999999999995,-0.23999999999999488,-1.5900000000000034,-6.159999999999997,-4.329999999999998,2015-2017,N
26,BENGKULU,-1.8799999999999955,-19.04,-5.130000000000003,-23.309999999999995,3.1700000000000017,-17.32,-9.689999999999998,2015-2017,N
27,MALUKU UTARA,-12.89,-9.759999999999998,-19.939999999999998,-13.019999999999996,-9.280000000000001,-13.909999999999997,-12.07,2015-2017,N
