,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
68874,220,1905021,SMA NEGERI 1 LIUKANG KALMAS,40300670,N,42,59.14,67.71,79.46,52.32,77.1,83.81,0.0,19,5,21,2016,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN PANGKAJENE KEPULAUAN
73200,293,2013011,MA DDI AL-IKHLAS LAMBANDIA,60730001,S,4,66.5,52.0,61.88,48.13,77.0,50.5,0.0,20,13,11,2016,SULAWESI TENGGARA,SULAWESI TENGGARA,KABUPATEN KOLAKA TIMUR
63348,199,1508020,SMA NEGERI 8 BARABAI,30311681.0,N,72,59.78,58.78,60.8,62.64,76.89,71.78,0.0,15,8,20,2016,KALIMANTAN SELATAN,KALIMANTAN SELATAN,KABUPATEN HULU SUNGAI TENGAH
43900,1088,731041,SMA SWASTA ADVENT TELADAN,10261987.0,S,10,59.4,58.4,70.5,65.5,76.8,79.6,0.0,7,31,41,2016,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN LABUHANBATU SELATAN
69827,394,1910009,SMA NEGERI 1 AJANGALE,40302661,N,130,65.75,48.82,78.88,64.58,76.66,76.74,0.0,19,10,9,2016,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN BONE
67342,217,1809020,MAS AL KHAIRAAT AMPIBABO,60728244,S,33,64.42,52.12,68.64,64.24,76.3,78.67,0.0,18,9,20,2016,SULAWESI TENGAH,SULAWESI TENGAH,KABUPATEN PARIGI MOUTONG
72177,82,2004007,SMA SWASTA WAMELAI RAHA,40400762,S,23,71.48,47.57,69.46,75.22,76.17,56.7,0.0,20,4,7,2016,SULAWESI TENGGARA,SULAWESI TENGGARA,KABUPATEN MUNA
69863,430,1910056,SMA AL JAMEAH PATTUKU,40319179,S,15,75.2,81.07,86.67,82.67,76.13,82.8,0.0,19,10,56,2016,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN BONE
18398,923,325759,MA NU MIFTAHUL HUDA SUGIHREJO,69927957,S,14,76.0,45.29,69.11,61.79,76.0,84.29,0.0,3,25,759,2016,JAWA TENGAH,JAWA TENGAH,KABUPATEN PATI
41794,698,715059,SMA NEGERI 2 PANGKATAN,69786965.0,N,31,75.23,77.87,78.31,68.71,76.0,64.39,0.0,7,15,59,2016,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN LABUHANBATU
67726,286,1812005,SMA NEGERI 1 LABOBO,40204015,N,14,79.57,50.0,81.43,79.29,76.0,76.0,0.0,18,12,5,2016,SULAWESI TENGAH,SULAWESI TENGAH,KABUPATEN BANGGAI LAUT
1025,279,103225,SMA NARADA,69757184,S,1,70.0,72.0,72.5,80.0,76.0,76.0,0.0,1,3,225,2016,DKI JAKARTA,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT
69841,408,1910024,MAS AL-KAHFIYAH CABBENG,40302796,S,79,57.7,56.58,59.72,60.57,75.92,73.95,0.0,19,10,24,2016,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN BONE
17663,720,323200,SMA BOPKRI 02 KELET,20318325,S,15,76.13,43.73,69.5,59.67,75.87,84.8,0.0,3,23,200,2016,JAWA TENGAH,JAWA TENGAH,KABUPATEN JEPARA
85024,58,2904007,MA ALKHAIRAAT BUNTULIA,60730012,S,14,60.57,47.57,68.93,52.32,75.86,51.43,0.0,29,4,7,2016,GORONTALO,GORONTALO,KABUPATEN POHUWATO
41764,668,715013,SMA SWASTA MUHAMMADIYAH 10 RANTAU PRAPAT,10205375.0,S,23,74.09,73.39,78.59,72.28,75.83,79.65,0.0,7,15,13,2016,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN LABUHANBATU
72560,159,2007005,SMA NEGERI 13 KONAWE SELATAN,40405048,N,46,64.13,66.17,67.23,71.2,75.78,58.13,0.0,20,7,5,2016,SULAWESI TENGGARA,SULAWESI TENGGARA,KABUPATEN KONAWE SELATAN
41786,690,715049,MA SWASTA AL-FALAH DUSUN JAWA,60728917.0,S,14,66.71,74.43,73.21,72.5,75.71,64.29,0.0,7,15,49,2016,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN LABUHANBATU
4188,314,204508,"MA TARBIYATUSSHIBYAN BOGOR, KOTA BOGOR",20277133,S,19,69.47,57.89,91.58,79.34,75.68,72.74,0.0,2,4,508,2016,JAWA BARAT,JAWA BARAT,KOTA BOGOR
43629,1034,729017,MA SWASTA AL FALAH AEK NABARA,10263571.0,S,11,77.82,75.09,80.0,73.86,75.64,82.91,0.0,7,29,17,2016,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN PADANGLAWAS
67330,205,1809004,SMA NEGERI 1 AMPIBABO,40202928,N,146,63.45,58.37,70.8,64.55,75.48,76.89,0.0,18,9,4,2016,SULAWESI TENGAH,SULAWESI TENGAH,KABUPATEN PARIGI MOUTONG
17720,777,323744,MA SAFINATUL HUDA KEDUNG,20362954,S,29,68.0,68.21,75.6,64.22,75.45,81.72,0.0,3,23,744,2016,JAWA TENGAH,JAWA TENGAH,KABUPATEN JEPARA
73134,278,2012008,SMAN 2 KAMBOWA,40404750,N,14,73.86,72.0,65.54,82.14,75.43,66.57,0.0,20,12,8,2016,SULAWESI TENGGARA,SULAWESI TENGGARA,KABUPATEN BUTON UTARA
72562,161,2007007,SMA NEGERI 3 KONAWE SELATAN,40401875,N,99,72.3,67.9,83.51,69.97,75.33,68.02,0.0,20,7,7,2016,SULAWESI TENGGARA,SULAWESI TENGGARA,KABUPATEN KONAWE SELATAN
85022,56,2904005,SMA NEGERI 1 POPAYATO,40500745,N,109,67.91,53.78,77.71,61.47,75.27,68.0,0.0,29,4,5,2016,GORONTALO,GORONTALO,KABUPATEN POHUWATO
17474,709,322710,MA MAMBAUL HUDA,69849453,S,28,71.86,59.0,63.39,55.98,75.21,84.43,0.0,3,22,710,2016,JAWA TENGAH,JAWA TENGAH,KABUPATEN BLORA
