,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
29390,416,511063,SMA AL MUSLIM,20574536,S,12,86.83,77.5,62.5,47.5,83.75,54.17,0.0,5,11,63,2017,JAWA TIMUR,KABUPATEN SIDOARJO
29459,485,513004,SMA NEGERI 2 JOMBANG,20503414,N,237,86.8,78.02,66.5,63.55,70.59,72.3,0.0,5,13,4,2017,JAWA TIMUR,KABUPATEN JOMBANG
27862,69,302001,SMA NEGERI 1 SURAKARTA,20327966,N,231,86.8,81.56,77.62,72.02,83.21,74.78,0.0,3,2,1,2017,JAWA TENGAH,KOTA SURAKARTA
28815,14,401015,SMA NEGERI 1 YOGYAKARTA,20403174,N,248,86.78,82.39,79.31,70.51,77.36,77.26,0.0,4,1,15,2017,DI YOGYAKARTA,KOTA YOGYAKARTA
27930,137,306001,SMA NEGERI 1 MAGELANG,20327563,N,176,86.77,82.25,80.88,73.29,84.44,80.38,0.0,3,6,1,2017,JAWA TENGAH,KOTA MAGELANG
26097,393,105057,SMA NEGERI 61,20103307,N,143,86.67,84.67,85.77,79.36,80.7,79.09,0.0,1,5,57,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
32070,839,720019,SMA SWASTA UNGGUL DEL,10263538,S,97,86.66,78.33,84.43,75.25,75.56,72.14,0.0,7,20,19,2017,SUMATERA UTARA,KABUPATEN TOBA SAMOSIR
29148,174,502506,MA NEGERI 3 MALANG,20580050,N,157,86.66,80.33,78.98,78.63,83.75,79.8,0.0,5,2,506,2017,JAWA TIMUR,KOTA MALANG
36642,306,2017012,MA LAPOKAINSE,60728266,S,16,86.5,57.13,56.41,55.63,66.5,38.21,0.0,20,17,12,2017,SULAWESI TENGGARA,KABUPATEN MUNA BARAT
29168,194,504007,SMA NEGERI 2 KOTA KEDIRI,20534388,N,280,86.44,78.89,73.49,69.98,81.88,77.2,0.0,5,4,7,2017,JAWA TIMUR,KOTA KEDIRI
27904,111,304001,SMA NEGERI 1 PEKALONGAN,20329517,N,246,86.43,79.11,76.02,72.16,83.99,79.4,0.0,3,4,1,2017,JAWA TENGAH,KOTA PEKALONGAN
28918,117,404023,SMA NEGERI 1 GODEAN,20401146,N,128,86.42,70.91,72.09,62.67,76.0,70.65,0.0,4,4,23,2017,DI YOGYAKARTA,KABUPATEN SLEMAN
28954,153,405001,SMA 2 WONOSARI,20402137,N,97,86.39,69.59,64.64,62.5,68.78,68.1,0.0,4,5,1,2017,DI YOGYAKARTA,KABUPATEN GUNUNGKIDUL
28802,1,401001,SMA NEGERI 3 YOGYAKARTA,20403178,N,197,86.38,82.88,78.19,70.86,79.15,80.75,0.0,4,1,1,2017,DI YOGYAKARTA,KOTA YOGYAKARTA
25937,233,103218,SMA CITRA KASIH,20112438,S,25,86.32,86.16,81.0,78.54,85.0,73.75,0.0,1,3,218,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT
