,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
54508,37,1502016,SMK GARUDA MAHADHIKA,69900829,S,3,75.33,82.0,30.0,74.3,"65,41",15,2,16,2017,KALIMANTAN SELATAN,KOTA BANJARBARU
3112,557,105255,SMK NEGERI 26,20103787,N,339,79.12,81.88,76.64,82.0,"79,91",1,5,255,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
41801,278,709108,SMK SWASTA KARYA SERDANG 1,10214086,S,93,77.23,81.72,86.64,73.47,"79,77",7,9,108,2017,SUMATERA UTARA,KABUPATEN DELISERDANG
16022,2142,223158,SMK RANACO JALANCAGAK,60726851,S,13,75.38,81.54,36.92,77.89,"67,93",2,23,158,2017,JAWA BARAT,KABUPATEN SUBANG
41802,279,709109,SMK SWASTA TAMAN SISWA GALANG 1,10200424,S,11,55.45,81.45,70.91,71.85,"69,92",7,9,109,2017,SUMATERA UTARA,KABUPATEN DELISERDANG
16765,2296,224215,SMK JAYA TAMA BANGSA,69727426,S,33,88.91,81.39,88.86,69.97,"82,28",2,24,215,2017,JAWA BARAT,KABUPATEN SUKABUMI
66459,111,2526002,SMK NEGERI 1 DOGIYAI,69880396,N,23,69.91,81.3,76.52,67.88,"73,90",25,26,2,2017,PAPUA,KABUPATEN DOGIYAI
44166,721,724113,SMK SWASTA BHAKTI LUHUR,10258237,S,30,74.67,81.27,71.58,79.84,"76,84",7,24,113,2017,SUMATERA UTARA,KABUPATEN NIAS SELATAN
67049,16,2702007,SMK NEGERI 6 TIDORE KEPULAUAN,69786335,N,24,54.17,81.17,55.21,75.94,"66,62",27,2,7,2017,MALUKU UTARA,KOTA TIDORE KEPULAUAN
67326,62,2705010,SMK PEDULI BANGSA,60205824,S,19,52.53,80.74,70.53,74.57,"69,59",27,5,10,2017,MALUKU UTARA,KABUPATEN HALMAHERA SELATAN
16663,2194,224111,"SMK AL HASANAH, KABUPATEN SUKABUMI",20202280,S,71,88.65,80.51,87.71,78.32,"83,80",2,24,111,2017,JAWA BARAT,KABUPATEN SUKABUMI
73253,35,3307001,SMK NEGERI 1 RAJA AMPAT,60402058,N,13,60.77,80.31,80.58,82.47,"76,03",33,7,1,2017,PAPUA BARAT,KABUPATEN RAJA AMPAT
5468,287,204108,"SMK SMAK BOGOR, KOTA BOGOR",20238524,N,250,86.42,80.18,77.83,81.83,"81,57",2,4,108,2017,JAWA BARAT,KOTA BOGOR
60751,25,2002108,SMK SWASTA KESEHATAN,40403152,S,17,62.12,79.88,62.79,76.69,"70,37",20,2,108,2017,SULAWESI TENGGARA,KOTA BAUBAU
58162,162,1812006,SMK NEGERI 1 BOKAN KEPULAUAN,40205705,N,18,56.33,79.78,51.39,79.86,"66,84",18,12,6,2017,SULAWESI TENGAH,KABUPATEN BANGGAI LAUT
60863,47,2004114,SMKS PERTANIAN AL FATH - TAN URAZA,69786270,S,23,61.22,79.65,58.26,79.93,"69,77",20,4,114,2017,SULAWESI TENGGARA,KABUPATEN MUNA
61822,80,2108114,SMK NEGERI 3 KAIRATU,69849625,N,33,55.52,79.52,78.79,81.43,"73,82",21,8,114,2017,MALUKU,SERAM BAGIAN BARAT
65931,23,2503002,SMK NEGERI 2 BIAK,60300367,N,27,65.93,79.26,64.91,74.49,"71,15",25,3,2,2017,PAPUA,KABUPATEN BIAK NUMFOR
